"BARRIOS";"USDm2_2013";"USDm2_2014";"USDm2_2015";"USDm2_2016";"USDm2_2017"
"AGRONOMIA";1749.1072607;1457.9737528;1689.3088457;2056.7427838;1945.6065061
"ALMAGRO";2033.5377261;1930.0807715;2086.3867135;1950.4877192;2299.0682587
"BALVANERA";1893.3714766;1818.465893;1857.8998726;1834.02804;1989.1438666
"BARRACAS";2229.4499899;1901.4012444;2390.0734438;1751.2389274;1919.5810884
"BELGRANO";2619.9731051;2544.0151139;2695.148083;3286.5566154;3199.2060784
"BOCA";1665.0821494;1405.4236617;1812.9569573;1459.6037483;1674.5639692
"BOEDO";2578.1805077;1810.0271336;2082.1058336;1562.627351;1857.9378146
"CABALLITO";2263.3969552;2033.9472086;2153.9611231;2264.9503611;2512.9829725
"CHACARITA";2353.3959521;2083.8256344;2122.3371999;2110.864843;2435.5774484
"COGHLAN";2656.168835;2211.4040263;2234.112785;2443.5865441;2608.7610807
"COLEGIALES";2456.6900355;2425.5567599;2345.9881229;2530.1202877;2820.5775073
"CONSTITUCION";1757.7218637;1615.5149303;1891.1426668;1669.4770162;1780.9269983
"FLORES";2012.047603;1818.1798905;1941.1322931;1945.5806732;2052.0306921
"FLORESTA";1775.216713;1850.6330853;1707.078315;1698.6720374;1799.0545949
"LINIERS";1671.9555311;1583.7976476;1804.058744;1778.9476032;1799.8994284
"MATADEROS";1509.2020896;1470.8835442;1460.9704772;1367.4893954;1526.9061547
"MONSERRAT";2211.1223256;2063.1772624;2114.6578495;2073.7820456;2195.5156779
"MONTE CASTRO";2131.0665246;1689.2084372;1818.9250834;1900.7156671;1926.7460208
"NUEVA POMPEYA";1733.8853357;1389.153367;1435.5634725;1288.1730852;1520.7808251
"NUÃ‘EZ";2860.3434359;2571.6727353;2766.0858282;3083.3821981;3099.753191
"PALERMO";2969.9138069;2865.3231917;2855.6628264;3338.8953587;3440.1838205
"PARQUE AVELLANEDA";1501.6257305;1450.1824646;3093.7246603;1382.9458944;1365.5236999
"PARQUE CHACABUCO";1774.6380799;1787.546446;1811.5769933;1743.4683421;2030.770873
"PARQUE CHAS";2167.927074;1938.5028102;2033.6180574;2103.7092515;2221.9000322
"PARQUE PATRICIOS";1671.5740345;1502.2523707;1665.2466667;1796.9611167;1784.263533
"PATERNAL";1979.6612259;1694.0423299;1560.5211378;1958.3591626;2062.8619213
"PUERTO MADERO";4808.0519251;4754.230024;5348.4260873;5742.7193778;6070.3287995
"RECOLETA";2804.5629742;2656.2986436;2698.0576531;3068.5774149;3248.245347
"RETIRO";2684.6188163;2658.8735589;2728.1009611;2836.7197148;3146.8743655
"SAAVEDRA";2142.902491;2159.4516705;2079.7470176;2186.2470298;2361.0852952
"SAN CRISTOBAL";2323.9734812;1934.9195854;2624.3818265;1770.4193975;1916.3548458
"SAN NICOLAS";2518.4129377;2180.2521653;2102.1179364;2343.1357253;2431.0080718
"SAN TELMO";2224.9073749;1984.547821;1991.9116187;2186.106106;2390.8029421
"VELEZ SARSFIELD";1618.7842193;1559.7998332;1520.9442148;1599.9399465;1751.4901586
"VERSALLES";1483.27141;1403.1570241;1488.0544721;1645.3290578;1625.8536939
"VILLA CRESPO";2260.1531883;2357.957272;2254.5796457;2326.9935764;2474.0602898
"VILLA DEL PARQUE";1935.4951489;1852.4566256;1859.1149895;2039.2463964;2197.6942195
"VILLA DEVOTO";2093.2730377;1904.1911001;2096.9700426;2083.9922987;2171.3599624
"VILLA GRAL. MITRE";1934.1689402;1731.2859979;1928.1236256;1967.1994058;2022.8739603
"VILLA LUGANO";1182.7794871;1248.7103047;1172.9801706;1208.2220444;1152.4681901
"VILLA LURO";1788.8730329;1949.0962101;1671.0233453;1681.7900536;2001.4789271
"VILLA ORTUZAR";2126.5605014;2151.6077258;2062.1517705;2007.3711172;2390.910199
"VILLA PUEYRREDON";1894.0856162;1497.9814601;1630.8128209;1624.3657035;2061.2390235
"VILLA REAL";1669.8439856;1436.426044;1463.7089611;1582.3018136;1726.4658983
"VILLA RIACHUELO";1489.5335092;1369.3831658;1212.376648;1475.8522727;1311.8155692
"VILLA SANTA RITA";2182.0928971;1948.1017327;2137.5321412;1848.1002926;1952.2045279
"VILLA SOLDATI";1721.0766775;1700.37613;1611.6917583;2382.0337302;872.7540794
"VILLA URQUIZA";2291.7644392;1980.7559862;2121.2510804;2439.6303879;2601.8793853
