"survived";"age";"sex";"fare"
"1";29;"female";211.3375
"1";0.9167;"male";151.55
"0";2;"female";151.55
"0";30;"male";151.55
"0";25;"female";151.55
"1";48;"male";26.55
"1";63;"female";77.9583
"0";39;"male";0
"1";53;"female";51.4792
"0";71;"male";49.5042
"0";47;"male";227.525
"1";18;"female";227.525
"1";24;"female";69.3
"1";26;"female";78.85
"1";80;"male";30
"0";24;"male";247.5208
"1";50;"female";247.5208
"1";32;"female";76.2917
"0";36;"male";75.2417
"1";37;"male";52.5542
"1";47;"female";52.5542
"1";26;"male";30
"1";42;"female";227.525
"1";29;"female";221.7792
"0";25;"male";26
"1";25;"male";91.0792
"1";19;"female";91.0792
"1";35;"female";135.6333
"1";28;"male";26.55
"0";45;"male";35.5
"1";40;"male";31
"1";30;"female";164.8667
"1";58;"female";26.55
"0";42;"male";26.55
"1";45;"female";262.375
"1";22;"female";55
"0";41;"male";30.5
"0";48;"male";50.4958
"1";44;"female";27.7208
"1";59;"female";51.4792
"1";60;"female";76.2917
"1";41;"female";134.5
"0";45;"male";26.55
"1";42;"male";26.2875
"1";53;"female";27.4458
"1";36;"male";512.3292
"1";58;"female";512.3292
"0";33;"male";5
"0";28;"male";47.1
"0";17;"male";47.1
"1";11;"male";120
"1";14;"female";120
"1";36;"male";120
"1";36;"female";120
"0";49;"male";26
"0";36;"male";78.85
"1";76;"female";78.85
"0";46;"male";61.175
"1";47;"female";61.175
"1";27;"male";53.1
"1";33;"female";53.1
"1";36;"female";262.375
"1";30;"female";86.5
"1";45;"male";29.7
"0";27;"male";136.7792
"1";26;"female";136.7792
"1";22;"female";151.55
"0";47;"male";25.5875
"1";39;"female";83.1583
"0";37;"male";83.1583
"1";64;"female";83.1583
"1";55;"female";25.7
"0";70;"male";71
"1";36;"female";71
"1";64;"female";26.55
"0";39;"male";71.2833
"1";38;"female";71.2833
"1";51;"male";26.55
"1";27;"male";30.5
"1";33;"female";151.55
"0";31;"male";52
"1";27;"female";52
"1";31;"male";57
"1";17;"female";57
"1";53;"male";81.8583
"1";4;"male";81.8583
"1";54;"female";81.8583
"0";50;"male";106.425
"1";27;"female";247.5208
"1";48;"female";106.425
"1";48;"female";39.6
"1";49;"male";56.9292
"0";39;"male";29.7
"1";23;"female";83.1583
"1";38;"female";227.525
"1";54;"female";78.2667
"0";36;"female";31.6792
"1";36;"male";26.3875
"0";30;"male";27.75
"1";24;"female";263
"1";28;"female";263
"1";23;"female";263
"0";19;"male";263
"0";64;"male";263
"1";60;"female";263
"1";30;"female";56.9292
"1";50;"male";133.65
"1";43;"male";27.7208
"1";22;"female";49.5
"1";60;"male";79.2
"1";48;"female";79.2
"0";37;"male";53.1
"1";35;"female";53.1
"0";47;"male";38.5
"1";35;"female";211.5
"1";22;"female";59.4
"1";45;"female";59.4
"0";24;"male";79.2
"1";49;"male";89.1042
"0";71;"male";34.6542
"1";53;"male";28.5
"1";19;"female";30
"0";38;"male";153.4625
"1";58;"female";153.4625
"1";23;"male";63.3583
"1";45;"female";63.3583
"0";46;"male";79.2
"1";25;"male";55.4417
"1";25;"female";55.4417
"1";48;"male";76.7292
"1";49;"female";76.7292
"0";45;"male";83.475
"1";35;"female";83.475
"0";40;"male";0
"1";27;"male";76.7292
"1";24;"female";83.1583
"0";55;"male";93.5
"1";52;"female";93.5
"0";42;"male";42.5
"0";55;"male";50
"1";16;"female";57.9792
"1";44;"female";57.9792
"1";51;"female";77.9583
"0";42;"male";52
"1";35;"female";52
"1";35;"male";26.55
"1";38;"male";90
"1";35;"female";90
"1";38;"female";80
"0";50;"female";28.7125
"1";49;"male";0
"0";46;"male";26
"0";50;"male";26
"0";32.5;"male";211.5
"0";58;"male";29.7
"0";41;"male";51.8625
"1";42;"male";52.5542
"1";45;"female";52.5542
"1";39;"female";211.3375
"1";49;"female";25.9292
"1";30;"female";106.425
"1";35;"male";512.3292
"0";42;"male";26.55
"1";55;"female";27.7208
"1";16;"female";39.4
"1";51;"female";39.4
"0";29;"male";30
"1";21;"female";77.9583
"0";30;"male";45.5
"1";58;"female";146.5208
"1";15;"female";211.3375
"0";30;"male";26
"1";16;"female";86.5
"0";19;"male";53.1
"1";18;"female";53.1
"1";24;"female";49.5042
"0";46;"male";75.2417
"0";54;"male";51.8625
"1";36;"male";26.2875
"0";28;"male";82.1708
"0";65;"male";26.55
"0";44;"male";90
"1";33;"female";90
"1";37;"female";90
"1";30;"male";57.75
"0";55;"male";30.5
"0";47;"male";42.4
"0";37;"male";29.7
"1";31;"female";113.275
"1";23;"female";113.275
"0";58;"male";113.275
"1";19;"female";26.2833
"0";64;"male";26
"1";39;"female";108.9
"1";22;"female";61.9792
"0";65;"male";61.9792
"0";28.5;"male";27.7208
"0";45.5;"male";28.5
"0";23;"male";93.5
"0";29;"male";66.6
"1";22;"female";66.6
"0";18;"male";108.9
"1";17;"female";108.9
"1";30;"female";93.5
"1";52;"male";30.5
"0";47;"male";52
"1";56;"female";83.1583
"0";38;"male";0
"0";22;"male";135.6333
"1";43;"female";211.3375
"0";31;"male";50.4958
"1";45;"male";26.55
"1";33;"female";27.7208
"0";46;"male";79.2
"0";36;"male";40.125
"1";33;"female";86.5
"0";55;"male";59.4
"1";54;"female";59.4
"0";33;"male";26.55
"1";13;"male";262.375
"1";18;"female";262.375
"1";21;"female";262.375
"0";61;"male";262.375
"1";48;"female";262.375
"1";24;"female";69.3
"1";35;"female";57.75
"1";30;"female";31
"1";34;"male";26.55
"1";40;"female";153.4625
"1";35;"male";26.2875
"0";50;"male";55.9
"1";39;"female";55.9
"1";56;"male";35.5
"1";28;"male";35.5
"0";56;"male";26.55
"0";56;"male";30.6958
"0";24;"male";60
"1";18;"female";60
"1";24;"male";82.2667
"1";23;"female";82.2667
"1";6;"male";134.5
"1";45;"male";134.5
"1";40;"female";134.5
"0";57;"male";146.5208
"1";32;"male";30.5
"0";62;"male";26.55
"1";54;"male";55.4417
"1";43;"female";55.4417
"1";52;"female";78.2667
"1";62;"female";80
"0";67;"male";221.7792
"0";63;"female";221.7792
"0";61;"male";32.3208
"1";48;"female";25.9292
"1";18;"female";79.65
"0";52;"male";79.65
"1";39;"female";79.65
"1";48;"male";52
"0";49;"male";110.8833
"1";17;"male";110.8833
"1";39;"female";110.8833
"1";31;"male";28.5375
"0";40;"male";27.7208
"0";61;"male";33.5
"0";47;"male";34.0208
"1";35;"female";512.3292
"0";64;"male";75.25
"1";60;"female";75.25
"0";60;"male";26.55
"0";54;"male";77.2875
"0";21;"male";77.2875
"1";55;"female";135.6333
"1";31;"female";164.8667
"0";57;"male";164.8667
"1";45;"female";164.8667
"0";50;"male";211.5
"0";27;"male";211.5
"1";50;"female";211.5
"1";21;"female";26.55
"0";51;"male";61.3792
"1";21;"male";61.3792
"1";31;"female";134.5
"0";62;"male";26.55
"1";36;"female";135.6333
"0";30;"male";24
"1";28;"female";24
"0";30;"male";13
"0";18;"male";11.5
"0";25;"male";10.5
"0";34;"male";26
"1";36;"female";26
"0";57;"male";13
"0";18;"male";11.5
"0";23;"male";10.5
"1";36;"female";13
"0";28;"male";10.5
"0";51;"male";12.525
"1";32;"male";26
"1";19;"female";26
"0";28;"male";26
"1";1;"male";39
"1";4;"female";39
"1";12;"female";39
"1";36;"female";39
"1";34;"male";13
"1";19;"female";13
"0";23;"male";13
"0";26;"male";13
"0";42;"male";13
"0";27;"male";13
"1";24;"female";13
"1";15;"female";39
"0";60;"male";39
"1";40;"female";39
"1";20;"female";26
"0";25;"male";26
"1";36;"female";13
"0";25;"male";13
"0";42;"male";13
"1";42;"female";13
"1";0.8333;"male";29
"1";26;"male";29
"1";22;"female";29
"1";35;"female";21
"0";19;"male";13
"0";44;"female";26
"0";54;"male";26
"0";52;"male";13.5
"0";37;"male";26
"0";29;"female";26
"1";25;"female";30
"1";45;"female";30
"0";29;"male";26
"1";28;"female";26
"0";29;"male";10.5
"0";28;"male";13
"1";24;"male";10.5
"1";8;"female";26.25
"0";31;"male";26.25
"1";31;"female";26.25
"1";22;"female";10.5
"0";30;"female";13
"0";21;"male";11.5
"1";8;"male";36.75
"0";18;"male";73.5
"1";48;"female";36.75
"1";28;"female";13
"0";32;"male";13
"0";17;"male";73.5
"0";29;"male";27.7208
"1";24;"female";27.7208
"0";25;"male";31.5
"0";18;"male";73.5
"1";18;"female";23
"1";34;"female";23
"0";54;"male";26
"1";8;"male";32.5
"0";42;"male";32.5
"1";34;"female";32.5
"1";27;"female";13.8583
"1";30;"female";13.8583
"0";23;"male";13
"0";21;"male";13
"0";18;"male";13
"0";40;"male";26
"1";29;"female";26
"0";18;"male";10.5
"0";36;"male";13
"0";38;"female";13
"0";35;"male";26
"0";38;"male";21
"0";34;"male";21
"1";34;"female";13
"0";16;"male";26
"0";26;"male";10.5
"0";47;"male";10.5
"0";21;"male";11.5
"0";21;"male";11.5
"0";24;"male";13.5
"0";24;"male";13
"0";34;"male";13
"0";30;"male";13
"0";52;"male";13
"0";30;"male";13
"1";0.6667;"male";14.5
"1";24;"female";14.5
"0";44;"male";13
"1";6;"female";33
"0";28;"male";33
"1";62;"male";10.5
"0";30;"male";10.5
"1";7;"female";26.25
"0";43;"male";26.25
"1";45;"female";26.25
"1";24;"female";65
"1";24;"female";65
"0";49;"male";65
"1";48;"female";65
"1";55;"female";16
"0";24;"male";73.5
"0";32;"male";73.5
"0";21;"male";73.5
"0";18;"female";13
"1";20;"female";23
"0";23;"male";11.5
"0";36;"male";13
"1";54;"female";23
"0";50;"male";13
"0";44;"male";26
"1";29;"female";26
"0";21;"male";73.5
"1";42;"male";13
"0";63;"male";26
"0";60;"female";26
"0";33;"male";12.275
"1";17;"female";10.5
"0";42;"male";27
"1";24;"female";27
"0";47;"male";15
"0";24;"male";31.5
"0";22;"male";31.5
"0";32;"male";10.5
"1";23;"female";13.7917
"0";34;"male";26
"1";24;"female";26
"0";22;"female";21
"0";35;"male";12.35
"1";45;"female";13.5
"0";57;"male";12.35
"0";31;"male";10.5
"0";26;"female";26
"0";30;"male";26
"1";1;"female";41.5792
"1";3;"female";41.5792
"0";25;"male";41.5792
"1";22;"female";41.5792
"1";17;"female";12
"1";34;"female";10.5
"0";36;"male";12.875
"0";24;"male";10.5
"0";61;"male";12.35
"0";50;"male";26
"1";42;"female";26
"0";57;"female";10.5
"1";1;"male";37.0042
"0";31;"male";37.0042
"1";24;"female";37.0042
"0";30;"male";13
"0";40;"male";16
"0";32;"male";13.5
"0";30;"male";13
"0";46;"male";26
"1";13;"female";19.5
"1";41;"female";19.5
"1";19;"male";10.5
"0";39;"male";13
"0";48;"male";13
"0";70;"male";10.5
"0";27;"male";13
"0";54;"male";14
"0";39;"male";26
"0";16;"male";10.5
"0";62;"male";9.6875
"0";32.5;"male";30.0708
"1";14;"female";30.0708
"1";2;"male";26
"1";3;"male";26
"0";36.5;"male";26
"0";26;"male";13
"0";19;"male";36.75
"0";28;"male";13.5
"1";20;"male";13.8625
"1";29;"female";10.5
"0";39;"male";13
"1";22;"male";10.5
"0";23;"male";10.5
"1";29;"male";13.8583
"0";28;"male";10.5
"1";50;"female";26
"0";19;"male";10.5
"0";41;"male";13
"1";21;"female";21
"1";19;"female";26
"0";43;"male";21
"1";32;"female";13
"0";34;"male";13
"1";30;"male";12.7375
"0";27;"male";15.0333
"1";2;"female";26
"1";8;"female";26
"1";33;"female";26
"0";36;"male";10.5
"0";34;"male";21
"1";30;"female";21
"1";28;"female";13
"0";23;"male";15.0458
"1";0.8333;"male";18.75
"1";3;"male";18.75
"1";24;"female";18.75
"1";50;"female";10.5
"0";19;"male";10.5
"1";21;"female";10.5
"0";26;"male";13
"0";25;"male";13
"0";27;"male";26
"1";25;"female";26
"1";18;"female";13
"1";20;"female";36.75
"1";30;"female";13
"0";59;"male";13.5
"1";30;"female";12.35
"0";35;"male";10.5
"1";40;"female";13
"0";25;"male";13
"0";41;"male";15.0458
"0";25;"male";10.5
"0";18.5;"male";13
"0";14;"male";65
"1";50;"female";10.5
"0";23;"male";13
"1";28;"female";12.65
"1";27;"female";10.5
"0";29;"male";21
"0";27;"female";21
"0";40;"male";13
"1";31;"female";21
"0";30;"male";21
"0";23;"male";10.5
"1";31;"female";21
"1";12;"female";15.75
"1";40;"female";15.75
"1";32.5;"female";13
"0";27;"male";26
"1";29;"female";26
"1";2;"male";23
"1";4;"female";23
"1";29;"female";23
"1";0.9167;"female";27.75
"1";5;"female";27.75
"0";36;"male";27.75
"1";33;"female";27.75
"0";66;"male";10.5
"1";31;"male";13
"1";26;"female";13.5
"0";24;"female";13
"0";42;"male";7.55
"0";13;"male";20.25
"0";16;"male";20.25
"1";35;"female";20.25
"1";16;"female";7.65
"1";25;"male";7.65
"1";20;"male";7.925
"1";18;"female";7.2292
"0";30;"male";7.25
"0";26;"male";8.05
"0";40;"female";9.475
"1";0.8333;"male";9.35
"1";18;"female";9.35
"1";26;"male";18.7875
"0";26;"male";7.8875
"0";20;"male";7.925
"0";24;"male";7.05
"0";25;"male";7.05
"0";35;"male";8.05
"0";18;"male";8.3
"0";32;"male";22.525
"1";19;"female";7.8542
"0";4;"male";31.275
"0";6;"female";31.275
"0";2;"female";31.275
"1";17;"female";7.925
"0";38;"female";7.775
"0";9;"female";31.275
"0";11;"female";31.275
"0";39;"male";31.275
"1";27;"male";7.7958
"0";26;"male";7.775
"0";39;"female";31.275
"0";20;"male";7.8542
"0";26;"male";7.8958
"0";25;"male";17.8
"0";18;"female";17.8
"0";24;"male";7.775
"0";35;"male";7.05
"0";5;"male";31.3875
"0";9;"male";31.3875
"1";3;"male";31.3875
"0";13;"male";31.3875
"1";5;"female";31.3875
"0";40;"male";31.3875
"1";23;"male";7.7958
"1";38;"female";31.3875
"1";45;"female";7.225
"0";21;"male";7.225
"0";23;"male";7.05
"0";17;"female";14.4583
"0";30;"male";7.225
"0";23;"male";7.8542
"1";13;"female";7.2292
"0";20;"male";7.225
"0";32;"male";15.85
"1";33;"female";15.85
"1";0.75;"female";19.2583
"1";0.75;"female";19.2583
"1";5;"female";19.2583
"1";24;"female";19.2583
"1";18;"female";8.05
"0";40;"male";7.225
"0";26;"male";7.8958
"1";20;"male";7.2292
"0";18;"female";14.4542
"0";45;"female";14.4542
"0";27;"female";7.8792
"0";22;"male";8.05
"0";19;"male";8.05
"0";26;"male";7.775
"0";22;"male";9.35
"0";20;"male";4.0125
"1";32;"male";56.4958
"0";21;"male";7.775
"0";18;"male";7.75
"0";26;"male";7.8958
"0";6;"male";15.2458
"0";9;"female";15.2458
"0";40;"male";15.5
"0";32;"female";15.5
"0";21;"male";16.1
"1";22;"female";7.725
"0";20;"female";7.8542
"0";29;"male";7.0458
"0";22;"male";7.25
"0";22;"male";7.7958
"0";35;"male";8.05
"0";18.5;"female";7.2833
"1";21;"male";7.8208
"0";19;"male";6.75
"0";18;"female";7.8792
"0";21;"female";8.6625
"0";30;"female";8.6625
"0";18;"male";8.6625
"0";38;"male";8.6625
"0";17;"male";8.6625
"0";17;"male";8.6625
"0";21;"female";7.75
"0";21;"male";7.75
"0";21;"male";8.05
"0";28;"male";7.7958
"0";24;"male";7.8542
"1";16;"female";7.75
"0";37;"female";7.75
"0";28;"male";7.25
"0";24;"male";8.05
"0";21;"male";7.7333
"1";32;"male";56.4958
"0";29;"male";8.05
"0";26;"male";14.4542
"0";18;"male";14.4542
"0";20;"male";7.05
"1";18;"male";8.05
"0";24;"male";7.25
"0";36;"male";7.4958
"0";24;"male";7.4958
"0";31;"male";7.7333
"0";31;"male";7.75
"1";22;"female";7.75
"0";30;"female";7.6292
"0";70.5;"male";7.75
"0";43;"male";8.05
"0";35;"male";7.8958
"0";27;"male";7.8958
"0";19;"male";7.8958
"0";30;"male";8.05
"1";9;"male";15.9
"1";3;"male";15.9
"1";36;"female";15.9
"0";59;"male";7.25
"0";19;"male";8.1583
"1";17;"female";16.1
"0";44;"male";16.1
"0";17;"male";8.6625
"0";22.5;"male";7.225
"1";45;"male";8.05
"0";22;"female";10.5167
"0";19;"male";10.1708
"1";30;"female";6.95
"1";29;"male";7.75
"0";0.3333;"male";14.4
"0";34;"male";14.4
"0";28;"female";14.4
"0";27;"male";7.8958
"0";25;"male";7.8958
"0";24;"male";24.15
"0";22;"male";8.05
"0";21;"male";24.15
"0";17;"male";8.05
"1";36.5;"male";17.4
"1";36;"female";17.4
"1";30;"male";9.5
"0";16;"male";9.5
"1";1;"male";20.575
"1";0.1667;"female";20.575
"0";26;"male";20.575
"1";33;"female";20.575
"0";25;"male";7.8958
"0";22;"male";7.25
"0";36;"male";7.25
"1";19;"female";7.8792
"0";17;"male";7.8958
"0";42;"male";8.6625
"0";43;"male";7.8958
"0";32;"male";7.75
"1";19;"male";8.05
"1";30;"female";12.475
"0";24;"female";7.75
"1";23;"female";8.05
"0";33;"male";7.8958
"0";65;"male";7.75
"1";24;"male";7.55
"0";23;"male";13.9
"1";22;"female";13.9
"0";18;"male";7.775
"0";16;"male";7.775
"0";45;"male";6.975
"0";39;"male";7.2292
"0";17;"male";7.2292
"0";15;"male";7.2292
"0";47;"male";7.25
"1";5;"female";12.475
"0";40.5;"male";15.1
"0";40.5;"male";7.75
"0";18;"male";7.7958
"0";26;"male";7.8792
"0";21;"female";34.375
"0";9;"female";34.375
"0";18;"male";34.375
"0";16;"male";34.375
"0";48;"female";34.375
"0";25;"male";7.7417
"0";22;"male";8.05
"1";16;"female";7.7333
"1";9;"male";20.525
"0";33;"male";20.525
"0";41;"male";7.85
"1";31;"female";20.525
"0";38;"male";7.05
"0";9;"male";46.9
"0";1;"male";46.9
"0";11;"male";46.9
"0";10;"female";46.9
"0";16;"female";46.9
"0";14;"male";46.9
"0";40;"male";46.9
"0";43;"female";46.9
"0";51;"male";8.05
"0";32;"male";8.3625
"0";20;"male";9.8458
"0";37;"male";7.925
"0";28;"male";7.925
"0";19;"male";7.775
"0";24;"female";8.85
"0";17;"female";7.7333
"0";28;"male";15.85
"1";24;"female";15.85
"0";20;"male";9.5
"0";23.5;"male";7.2292
"0";41;"male";14.1083
"0";26;"male";7.8542
"0";21;"male";7.8542
"1";45;"female";14.1083
"0";25;"male";7.25
"0";11;"male";18.7875
"1";27;"male";6.975
"0";18;"female";6.75
"1";26;"female";7.925
"0";23;"female";7.925
"1";22;"female";8.9625
"0";28;"male";7.8958
"0";28;"female";7.775
"1";2;"female";12.2875
"1";22;"female";12.2875
"0";43;"male";6.45
"0";28;"male";22.525
"1";27;"female";7.925
"0";42;"male";7.65
"0";30;"male";7.2292
"0";27;"female";7.925
"0";25;"female";7.925
"1";29;"male";7.8958
"1";21;"male";7.7958
"0";20;"male";7.8542
"0";48;"male";7.8542
"0";17;"male";7.0542
"0";34;"male";6.4958
"1";26;"male";7.775
"0";22;"male";7.7958
"0";33;"male";8.6542
"0";31;"male";7.775
"0";29;"male";7.8542
"1";4;"male";11.1333
"1";1;"female";11.1333
"0";49;"male";0
"0";33;"male";7.775
"0";19;"male";0
"1";27;"female";11.1333
"0";23;"male";7.8958
"1";32;"male";7.8542
"0";27;"male";7.8542
"0";20;"female";9.825
"0";21;"female";9.825
"1";32;"male";7.925
"0";17;"male";7.125
"0";21;"male";8.4333
"0";30;"male";7.8958
"1";21;"male";7.7958
"0";33;"male";7.8542
"0";22;"male";7.5208
"1";4;"female";13.4167
"1";39;"male";13.4167
"0";18.5;"male";7.2292
"0";34.5;"male";7.8292
"0";44;"male";8.05
"0";22;"female";8.6625
"0";26;"male";8.6625
"1";4;"female";22.025
"1";29;"male";22.025
"1";26;"female";22.025
"0";1;"female";12.1833
"0";18;"male";7.8542
"0";36;"female";12.1833
"1";25;"male";7.2292
"0";37;"female";9.5875
"1";22;"female";7.25
"1";26;"male";56.4958
"0";29;"male";9.4833
"0";29;"male";7.775
"0";22;"male";7.775
"1";22;"male";7.225
"0";32;"male";7.925
"0";34.5;"male";6.4375
"0";36;"male";0
"0";39;"male";24.15
"0";24;"male";9.5
"0";25;"female";7.775
"0";45;"female";7.75
"0";36;"male";15.55
"0";30;"female";15.55
"1";20;"male";7.925
"0";28;"male";56.4958
"0";30;"male";16.1
"0";26;"female";16.1
"0";20.5;"male";7.25
"1";27;"male";8.6625
"0";51;"male";7.0542
"1";23;"female";7.8542
"1";32;"male";7.5792
"1";24;"male";7.1417
"0";22;"male";7.125
"0";29;"male";7.925
"0";30.5;"female";7.75
"0";35;"male";7.8958
"0";33;"male";7.8958
"1";15;"female";8.0292
"0";35;"female";7.75
"0";24;"male";16.1
"0";19;"female";16.1
"0";55.5;"male";8.05
"1";21;"male";7.775
"0";24;"male";7.8958
"0";21;"male";7.8958
"0";28;"male";7.8958
"0";25;"male";7.65
"1";6;"male";12.475
"1";27;"female";12.475
"0";34;"male";8.05
"1";24;"female";7.75
"0";18;"male";7.75
"0";22;"male";7.8958
"1";15;"female";7.225
"1";1;"female";15.7417
"1";20;"male";15.7417
"1";19;"female";15.7417
"0";33;"male";8.05
"1";12;"male";11.2417
"1";14;"female";11.2417
"0";29;"female";7.925
"0";28;"male";8.05
"1";18;"female";7.775
"1";26;"female";7.8542
"0";21;"male";7.8542
"0";41;"male";7.125
"1";39;"male";7.925
"0";21;"male";7.8
"0";28.5;"male";7.2292
"1";22;"female";7.75
"0";61;"male";6.2375
"0";23;"male";9.225
"1";22;"female";7.775
"1";9;"male";3.1708
"0";28;"male";22.525
"0";42;"male";8.4042
"0";31;"female";7.8542
"0";28;"male";7.8542
"1";32;"male";7.775
"0";20;"male";9.225
"0";23;"female";8.6625
"0";20;"female";8.6625
"0";20;"male";8.6625
"0";16;"male";9.2167
"1";31;"female";8.6833
"0";2;"male";21.075
"0";6;"male";21.075
"0";3;"female";21.075
"0";8;"female";21.075
"0";29;"female";21.075
"0";1;"male";39.6875
"0";7;"male";39.6875
"0";2;"male";39.6875
"0";16;"male";39.6875
"0";14;"male";39.6875
"0";41;"female";39.6875
"0";21;"male";8.6625
"0";19;"male";14.5
"0";32;"male";7.8958
"0";0.75;"male";13.775
"0";3;"female";13.775
"0";26;"female";13.775
"0";21;"male";7.925
"0";25;"male";7.925
"0";22;"male";7.25
"1";25;"male";7.775
"0";24;"male";8.05
"0";28;"female";7.8958
"0";19;"male";7.8958
"0";25;"male";7.775
"0";18;"female";7.775
"1";32;"male";8.05
"0";17;"male";8.6625
"0";24;"male";8.6625
"0";38;"male";7.8958
"0";21;"male";8.05
"0";10;"male";29.125
"0";4;"male";29.125
"0";7;"male";29.125
"0";2;"male";29.125
"0";8;"male";29.125
"0";39;"female";29.125
"0";22;"female";39.6875
"0";35;"male";7.125
"0";50;"male";14.5
"0";47;"female";14.5
"0";2;"female";20.2125
"0";18;"male";20.2125
"0";41;"female";20.2125
"0";50;"male";8.05
"0";16;"male";8.05
"0";25;"male";7.225
"0";38.5;"male";7.25
"0";14.5;"male";69.55
"0";24;"male";9.325
"1";21;"female";7.65
"0";39;"male";7.925
"1";1;"female";16.7
"1";24;"female";16.7
"1";4;"female";16.7
"1";25;"male";9.5
"0";20;"male";8.05
"0";24.5;"male";8.05
"1";29;"male";9.5
"0";22;"male";7.2292
"0";40;"male";7.8958
"0";21;"male";7.925
"1";18;"female";7.4958
"0";4;"male";27.9
"0";10;"male";27.9
"0";9;"female";27.9
"0";2;"female";27.9
"0";40;"male";27.9
"0";45;"female";27.9
"0";19;"male";7.65
"0";30;"male";8.05
"0";32;"male";8.05
"0";33;"male";8.6625
"1";23;"female";7.55
"0";21;"male";8.05
"0";19;"male";7.8958
"0";22;"female";9.8375
"1";31;"male";7.925
"0";27;"male";8.6625
"0";2;"female";10.4625
"0";29;"female";10.4625
"1";16;"male";8.05
"1";44;"male";7.925
"0";25;"male";7.05
"0";74;"male";7.775
"1";14;"male";9.225
"0";24;"male";7.7958
"1";25;"male";7.7958
"0";34;"male";8.05
"1";0.4167;"male";8.5167
"1";16;"female";8.5167
"0";32;"male";7.925
"0";30.5;"male";8.05
"0";44;"male";8.05
"1";25;"male";0
"1";7;"male";15.2458
"1";9;"female";15.2458
"1";29;"female";15.2458
"0";36;"male";7.8958
"1";18;"female";9.8417
"1";63;"female";9.5875
"0";11.5;"male";14.5
"0";40.5;"male";14.5
"0";10;"female";24.15
"0";36;"male";24.15
"0";30;"female";24.15
"0";33;"male";9.5
"0";28;"male";9.5
"0";28;"male";9.5
"0";47;"male";9
"0";18;"female";18
"0";31;"male";18
"0";16;"male";18
"0";31;"female";18
"1";22;"male";7.225
"0";20;"male";7.8542
"0";14;"female";7.8542
"0";22;"male";7.8958
"0";22;"male";9
"0";32.5;"male";9.5
"1";38;"female";7.2292
"0";51;"male";7.75
"0";18;"male";6.4958
"0";21;"male";6.4958
"1";47;"female";7
"0";28.5;"male";16.1
"0";21;"male";7.25
"0";27;"male";8.6625
"0";36;"male";9.5
"0";27;"male";14.4542
"1";15;"female";14.4542
"0";45.5;"male";7.225
"0";14.5;"female";14.4542
"0";26.5;"male";7.225
"0";27;"male";7.225
"0";29;"male";7.875
